Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_ORL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Paolo Banchero,35,27,9,5,0,2.0,0.611,0.0,0.64,30.3,3.0,4,0.714,119.0,111.0,20.4,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,5.0,0.0,4.0,0.611,0.0,0.714,30.3,119.0,111.0,20.4,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Paolo Banchero,34,20,12,2,1,3.0,0.333,0.167,0.465,32.5,0.1,4,0.875,89.0,100.0,13.9,2,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,10.5,3.5,0.5,4.0,0.472,0.0835,0.7945,31.4,104.0,105.5,17.15,1.00694,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Paolo Banchero,33,23,5,3,0,1.0,0.316,0.286,0.482,32.7,-4.6,2,0.818,107.0,131.0,13.6,3,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,8.666666666666666,3.333333333333333,0.3333333333333333,3.333333333333333,0.42,0.151,0.8023333333333333,31.83333333333333,105.0,114.0,15.966666666666669,1.08192,2,2022,10,22,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Paolo Banchero,34,21,4,2,2,0.0,0.462,0.0,0.589,24.5,3.5,1,0.818,126.0,119.0,15.9,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,7.5,3.0,0.75,2.75,0.4305,0.11325,0.8062499999999999,30.0,110.25,115.25,15.95,0.992277,3,2022,10,24,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Paolo Banchero,37,29,8,4,1,2.0,0.526,0.6,0.644,31.2,12.7,3,0.75,120.0,105.0,23.1,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.6,3.2,0.8,2.8,0.4496,0.2105999999999999,0.7949999999999999,30.24,112.2,113.2,17.380000000000003,0.995349,4,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Paolo Banchero,27,21,12,7,0,0.0,0.571,0.5,0.615,31.1,10.3,2,0.429,121.0,93.0,20.1,6,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,8.333333333333334,3.8333333333333335,0.6666666666666666,2.6666666666666665,0.4698333333333333,0.2588333333333333,0.734,30.383333333333336,113.66666666666669,109.83333333333331,17.833333333333332,1.16168,5,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Paolo Banchero,32,18,3,4,0,0.0,0.3,0.167,0.383,36.1,-13.0,2,0.625,85.0,127.0,4.9,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.714285714285715,7.571428571428571,3.857142857142857,0.5714285714285714,2.571428571428572,0.4455714285714285,0.2457142857142857,0.7184285714285714,31.2,109.57142857142856,112.28571428571428,15.985714285714286,1.04058,6,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Paolo Banchero,37,15,8,2,1,0.0,0.462,0.0,0.524,19.6,-5.9,4,1.0,90.0,111.0,9.1,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,7.625,3.625,0.625,2.75,0.447625,0.215,0.753625,29.75,107.125,112.125,15.125,0.987215,7,2022,11,1,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Paolo Banchero,36,22,8,3,1,1.0,0.471,0.0,0.525,29.4,-8.5,5,0.667,95.0,122.0,12.1,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77777777777778,7.666666666666667,3.555555555555556,0.6666666666666666,3.0,0.4502222222222222,0.1911111111111111,0.744,29.71111111111111,105.77777777777776,113.22222222222224,14.788888888888888,1.12854,8,2022,11,3,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Paolo Banchero,40,33,16,4,0,1.0,0.538,0.0,0.585,33.0,3.7,1,1.0,121.0,114.0,27.3,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.9,8.5,3.6,0.6,2.8,0.4589999999999999,0.172,0.7696,30.04,107.3,113.3,16.04,1.11209,9,2022,11,5,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
