Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_OKC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Shai Gilgeous-Alexander,2020-12-26,34,24,7,9,0,1.0,0.4,0.167,0.492,35.8,-1.9,5,0.7,99.0,107.0,15.3,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,9.0,0.0,5.0,0.4,0.167,0.7,35.8,99.0,107.0,15.3,1.14353
Shai Gilgeous-Alexander,2020-12-28,36,23,3,7,1,1.0,0.429,0.143,0.505,32.3,-1.6,4,1.0,99.0,113.0,14.2,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.5,5.0,8.0,0.5,4.5,0.4145,0.155,0.85,34.05,99.0,110.0,14.75,1.06361
Shai Gilgeous-Alexander,2020-12-29,33,23,7,7,0,0.0,0.8,1.0,0.943,21.5,7.2,5,0.8,137.0,117.0,20.4,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,5.666666666666667,7.666666666666667,0.3333333333333333,4.666666666666667,0.543,0.4366666666666667,0.8333333333333334,29.866666666666664,111.66666666666669,112.33333333333331,16.633333333333333,1.10123
Shai Gilgeous-Alexander,2020-12-31,28,8,4,4,2,0.0,0.3,0.333,0.368,20.5,-4.4,2,0.0,75.0,113.0,5.0,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,5.25,6.75,0.75,4.0,0.48225,0.41075,0.625,27.525,102.5,112.5,13.725,1.17104
Shai Gilgeous-Alexander,2021-01-02,35,16,4,7,0,1.0,0.294,0.222,0.417,26.5,-3.8,1,0.8,96.0,105.0,10.3,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,5.0,6.8,0.6,3.4,0.4446,0.373,0.6599999999999999,27.32,101.2,111.0,13.04,1.09382
Shai Gilgeous-Alexander,2021-01-04,28,18,2,4,0,0.0,0.467,0.333,0.567,29.1,-0.5,2,1.0,103.0,125.0,10.9,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,4.5,6.333333333333333,0.5,3.1666666666666665,0.4483333333333333,0.3663333333333333,0.7166666666666667,27.616666666666664,101.5,113.33333333333331,12.683333333333332,0.91716
Shai Gilgeous-Alexander,2021-01-06,36,21,5,9,5,0.0,0.412,0.286,0.535,26.3,7.3,2,0.833,113.0,99.0,21.5,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.571428571428571,6.714285714285714,1.1428571428571428,3.0,0.4431428571428571,0.3548571428571428,0.7332857142857143,27.428571428571427,103.14285714285714,111.28571428571428,13.94285714285714,1.06032
Shai Gilgeous-Alexander,2021-01-08,34,25,10,7,0,1.0,0.643,1.0,0.751,25.5,15.9,3,0.667,142.0,95.0,24.4,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,5.25,6.75,1.0,3.0,0.468125,0.4355,0.725,27.1875,108.0,109.25,15.25,1.00376
Shai Gilgeous-Alexander,2021-01-10,36,31,6,7,2,1.0,0.688,0.5,0.794,26.7,11.6,2,0.875,153.0,110.0,30.4,9,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.333333333333333,6.777777777777778,1.1111111111111112,2.888888888888889,0.4925555555555555,0.4426666666666666,0.7416666666666667,27.133333333333333,113.0,109.33333333333331,16.933333333333334,1.07164
Shai Gilgeous-Alexander,2021-01-12,33,20,9,2,0,0.0,0.7,0.0,0.716,21.0,2.2,2,0.667,131.0,114.0,16.7,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.9,5.7,6.3,1.0,2.8,0.5133,0.3984,0.7342000000000001,26.52,114.8,109.8,16.91,0.966889
